week,weekorder,date,ReportingLaboratory,test_sarscov2,pos_sarscov2,test_flu,pos_flu,pos_flua_h1,pos_flua_h3,pos_flua_uns,pos_flua,pos_flub,test_rsv,pos_rsv,test_hpiv,pos_hpiv_1,pos_hpiv_2,pos_hpiv_3,pos_hpiv_4,pos_hpiv_other,test_adv,pos_adv,test_hmpv,pos_hmpv,test_evrv,pos_evrv,test_hcov,pos_hcov
35,1,2024-08-31,PHOL - Orillia,21.0,13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,15.0,2.0,15.0,0.0
35,1,2024-08-31,PHOL - Sudbury,11.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,11.0,1.0,11.0,0.0
35,1,2024-08-31,PHOL - Timmins,28.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,0.0,10.0,1.0,10.0,0.0
35,1,2024-08-31,PHOL - Sault Ste. Marie,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0
35,1,2024-08-31,Sault Area Hospital,76.0,8.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,56.0,0.0,0.0,0.0,1.0,0.0,56.0,0.0,56.0,0.0,56.0,3.0,56.0,0.0
35,1,2024-08-31,PHOL - Thunder Bay,20.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,2.0,21.0,0.0,21.0,0.0,21.0,1.0,21.0,0.0
35,1,2024-08-31,Ontario,6459.0,995.0,5205.0,20.0,7.0,8.0,6.0,18.0,2.0,5205.0,13.0,3723.0,0.0,3.0,5.0,2.0,47.0,3723.0,14.0,3747.0,7.0,3747.0,254.0,2406.0,8.0
35,1,2024-08-31,Manitoba,1095.0,188.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,1.0,43.0,1.0,0.0,2.0,0.0,0.0,43.0,1.0,83.0,0.0,43.0,11.0,83.0,0.0
35,1,2024-08-31,Saskatchewan,1272.0,149.0,868.0,32.0,14.0,0.0,17.0,31.0,1.0,776.0,2.0,322.0,0.0,1.0,0.0,1.0,0.0,322.0,10.0,322.0,1.0,322.0,43.0,322.0,0.0
35,1,2024-08-31,Alberta,3141.0,320.0,936.0,8.0,5.0,3.0,0.0,8.0,0.0,849.0,1.0,849.0,3.0,4.0,1.0,1.0,0.0,849.0,9.0,788.0,1.0,843.0,119.0,849.0,3.0
35,1,2024-08-31,Prairies,5508.0,657.0,2125.0,40.0,19.0,3.0,17.0,39.0,1.0,1946.0,4.0,1214.0,4.0,5.0,3.0,2.0,0.0,1214.0,20.0,1193.0,2.0,1208.0,173.0,1254.0,3.0
35,1,2024-08-31,British Columbia,2571.0,484.0,2517.0,35.0,11.0,2.0,2.0,34.0,1.0,2517.0,12.0,621.0,3.0,0.0,5.0,1.0,0.0,621.0,2.0,621.0,9.0,617.0,55.0,617.0,1.0
35,1,2024-08-31,Yukon,46.0,10.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,,,,,,,,,,,,,,
35,1,2024-08-31,Northwest Territories,26.0,8.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,,,,,,,26.0,0.0,26.0,0.0,26.0,11.0,,
35,1,2024-08-31,Nunavut,107.0,5.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,,,,,,,,,,,,,,
35,1,2024-08-31,Territories,179.0,23.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,,,,,,,26.0,0.0,26.0,0.0,26.0,11.0,,
